"","...1","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Division","Home_Prob","Visitor_Prob","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","Tie","Elo_Diff"
"103",103,2023-10-14,"Post",0,"Stonehill",4,0,"NEWHA",0.447487315058479,0.552512684941521,1140.61541839593,1192.24002816429,1208.02196595879,1124.83348060143,0,51.6246097683666
"104",104,2023-10-14,"Franklin Pierce",11,"Saint Michael's",0,0,"NEWHA",0.226735513285464,0.773264486714536,1146.62828274349,1374.75168938676,1106.26936137868,1415.11061075157,0,228.123406643266
"105",105,2023-10-14,"Saint Anselm",7,"Assumption",3,0,"NEWHA",0.589771618000043,0.410228381999957,1302.20383409781,1254.14056819766,1230.2516967018,1326.09270559367,0,48.0632659001419
"106",106,2023-10-14,"Sacred Heart",1,"Long Island",3,0,"NEWHA",0.744469499627704,0.255530500372296,1447.58380722647,1276.82214148942,1474.67004026593,1249.73590844996,0,170.761665737046
"107",107,2023-10-14,"Boston College",2,"Connecticut",1,0,"Hockey East",0.48546316358857,0.51453683641143,1520.71524292309,1545.81931902486,1473.13985289141,1593.39470905654,0,25.1040761017712
"108",108,2023-10-14,"Merrimack",3,"New Hampshire",3,1,"Hockey East",0.439790940600246,0.560209059399754,1532.5203303452,1589.56186985748,1537.93914569118,1584.1430545115,1,57.0415395122777
"109",109,2023-10-14,"Bemidji State",0,"St. Cloud State",3,0,"WCHA",0.913728956975265,0.0862710430247349,1594.02740011238,1199.04646426331,1603.8622990172,1189.21156535849,0,394.980935849063
"110",110,2023-10-14,"Ohio State",2,"Minnesota-Duluth",0,0,"WCHA",0.30571409175554,0.69428590824446,1691.97951390907,1849.46867101921,1659.57382018298,1881.87436474529,0,157.489157110142
"111",111,2023-10-14,"Minnesota",4,"St. Thomas",0,0,"WCHA",0.148186031095152,0.851813968904848,1517.10691120979,1835.92190778073,1499.02821541618,1854.00060357434,0,318.814996570938
"112",112,2023-10-17,"St. Cloud State",1,"Minnesota",2,0,"WCHA",0.82145826790006,0.17854173209994,1854.00060357434,1603.8622990172,1871.49769332013,1586.3652092714,0,250.138304557145
"113",113,2023-10-17,"Syracuse",0,"Cornell",7,0,"Non-Conference",0.859923198046499,0.140076801953501,1640.95778271958,1340.72040389516,1661.40899580479,1320.26919080995,0,300.23737882442
"114",114,2023-10-19,"RIT",1,"St. Lawrence",2,0,"Non-Conference",0.804720915180871,0.195279084819129,1717.69198495525,1486.6961617681,1736.82933526752,1467.55881145582,0,230.99582318715
"115",115,2023-10-20,"Maine",4,"Providence",3,0,"Hockey East",0.61148061078152,0.38851938921848,1488.72350179483,1424.93550444187,1428.79840193824,1484.86060429846,0,63.787997352958
"116",116,2023-10-20,"Vermont",4,"Merrimack",2,0,"Hockey East",0.476088214220925,0.523911785779075,1584.1430545115,1615.77134966303,1533.67770380408,1666.23670037044,0,31.6282951515261
"117",117,2023-10-20,"New Hampshire",2,"Connecticut",0,0,"Hockey East",0.428819846387775,0.571180153612225,1473.13985289141,1537.93914569118,1427.6849491743,1583.39404940828,0,64.79929279977
"118",118,2023-10-20,"Boston College",2,"Holy Cross",1,0,"Hockey East",0.181520666353179,0.818479333646821,1316.76205268433,1593.39470905654,1298.97302738172,1611.18373435915,0,276.632656372206
"119",119,2023-10-20,"Ohio State",6,"St. Thomas",2,0,"WCHA",0.107408217865946,0.892591782134054,1499.02821541618,1881.87436474529,1485.92441283654,1894.97816732494,0,382.84614932911
"120",120,2023-10-20,"Minnesota-Duluth",3,"Minnesota State",1,0,"WCHA",0.367479530336073,0.632520469663927,1550.23724734586,1659.57382018298,1511.28441713024,1698.5266503986,0,109.336572837113
"121",121,2023-10-20,"Bemidji State",0,"Wisconsin",4,0,"WCHA",0.98671175056933,0.0132882494306705,1922.50057680045,1189.21156535849,1924.12174323099,1187.59039892795,0,733.289011441958
